symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-02-03 22:00:00,364,SHORT,1.814006,1.600621,-11.7632,0.0,0,0,True,25.0,0.04,11.6632,0.0,0.0,0.16,1119.16,-99.99,-999.84,364,47.25,-99.98
BTC/USDT,2026-02-03 23:00:00,365,SHORT,1.600621,1.522277,-4.8946,0.0,0,0,True,25.0,0.04,4.7946,0.0,0.0,0.16,1119.16,-99.99,-999.84,365,47.4,-99.98
BTC/USDT,2026-02-04 00:00:00,366,SHORT,1.522277,1.090727,-28.349,0.0,0,0,True,25.0,0.04,28.249,0.01,0.0,0.17,1119.16,-99.98,-999.83,366,47.54,-99.98
BTC/USDT,2026-02-04 01:00:00,367,SHORT,1.090727,1.285101,17.8206,0.0,0,1,False,25.0,0.04,-17.9206,-0.01,0.0,0.17,1119.16,-99.99,-999.83,367,47.41,-99.98
BTC/USDT,2026-02-04 02:00:00,368,SHORT,1.285101,1.74423,35.7271,0.0,0,1,False,25.0,0.04,-35.8271,-0.01,0.0,0.15,1119.16,-99.99,-999.85,368,47.28,-99.98
BTC/USDT,2026-02-04 03:00:00,369,SHORT,1.74423,1.513004,-13.2566,0.0,0,0,True,25.0,0.04,13.1566,0.0,0.0,0.16,1119.16,-99.99,-999.84,369,47.43,-99.98
BTC/USDT,2026-02-04 04:00:00,370,SHORT,1.513004,1.383402,-8.5659,0.0,0,0,True,25.0,0.04,8.4659,0.0,0.0,0.16,1119.16,-99.99,-999.84,370,47.57,-99.98
BTC/USDT,2026-02-04 05:00:00,371,SHORT,1.383402,1.546159,11.765,0.0,0,1,False,25.0,0.04,-11.865,-0.0,0.0,0.16,1119.16,-99.99,-999.84,371,47.44,-99.98
BTC/USDT,2026-02-04 06:00:00,372,SHORT,1.546159,1.014182,-34.4064,0.0,0,0,True,25.0,0.04,34.3064,0.01,0.0,0.17,1119.16,-99.98,-999.83,372,47.58,-99.98
BTC/USDT,2026-02-04 07:00:00,373,SHORT,1.014182,0.953001,-6.0326,0.0,0,0,True,25.0,0.04,5.9326,0.0,0.0,0.17,1119.16,-99.98,-999.83,373,47.72,-99.98
BTC/USDT,2026-02-04 08:00:00,374,SHORT,0.953001,1.125503,18.101,0.0,0,1,False,25.0,0.04,-18.201,-0.01,0.0,0.16,1119.16,-99.99,-999.84,374,47.59,-99.98
BTC/USDT,2026-02-04 09:00:00,375,SHORT,1.125503,2.599032,130.9218,0.0,0,1,False,25.0,0.04,-131.0218,-0.05,0.0,0.11,1119.16,-99.99,-999.89,375,47.47,-99.99
BTC/USDT,2026-02-04 10:00:00,376,SHORT,2.599032,2.184376,-15.9543,0.0,0,0,True,25.0,0.03,15.8543,0.0,0.0,0.11,1119.16,-99.99,-999.89,376,47.61,-99.99
BTC/USDT,2026-02-04 11:00:00,377,SHORT,2.184376,2.339695,7.1104,0.0,0,1,False,25.0,0.03,-7.2104,-0.0,0.0,0.11,1119.16,-99.99,-999.89,377,47.48,-99.99
